,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
78,5014,The Last Exorcism,1800000.0,41034350.0,70165900, 2010,,,,,,68365900.0,3798.105555555556
79,3986,The Godfather,7000000.0,134966411.0,268500000, 1972,,,,,,261500000.0,3735.7142857142853
80,5212,Tom Jones,1000000.0,37600000.0,37600000,1963,,,,,,36600000.0,3660.0
81,3826,Crocodile Dundee,8800000.0,174803506.0,328203506, 1986,,,,,,319403506.0,3629.5852954545453
82,4114,Fahrenheit 9/11,6000000.0,119114517.0,221148959, 2004,,,,,,215148959.0,3585.815983333333
83,4867,Pinocchio,2289247.0,84300000.0,84300000,1940,,,,,,82010753.0,3582.4335687673715
84,5074,Dawn of the Dead,1500000.0,5100000.0,55000000, 1979,,,,,,53500000.0,3566.6666666666665
85,4868,Fantasia,2280000.0,83320000.0,83320000, 1940,,,,,,81040000.0,3554.385964912281
86,5397,House of Wax,658000.0,23800000.0,23800000, 1953,,,,,,23142000.0,3517.0212765957444
87,5577,Cube,250000.0,489220.0,8969065, 1998,,,,,,8719065.0,3487.626
88,3341,The Exorcist,12000000.0,230347346.0,428214478, 1973,,,,,,416214478.0,3468.4539833333333
89,5699,The Last House on the Left,87000.0,3100000.0,3100000, 1972,,,,,,3013000.0,3463.218390804597
90,3859,The Sound of Music,8200000.0,163214286.0,286214286,1965,,,,,,278014286.0,3390.4181219512197
91,5762,Pink Flamingos,12000.0,413802.0,413802, 1997,,,,,,401802.0,3348.35
92,5431,Kingdom of the Spiders,500000.0,17000000.0,17000000,1977,,,,,,16500000.0,3300.0
93,5408,The Kentucky Fried Movie,600000.0,15000000.0,20000000, 1977,,,,,,19400000.0,3233.3333333333335
94,5615,Swingers,200000.0,4505922.0,6618578, 1996,,,,,,6418578.0,3209.2889999999998
95,3985,Juno,7000000.0,143495265.0,231450102,2007,,,,,,224450102.0,3206.430028571429
96,4252,Insidious Chapter 2,5000000.0,83586447.0,161921515, 2013,,,,,,156921515.0,3138.4303
97,2991,Home Alone,15000000.0,285761243.0,476684675, 1990,,,,,,461684675.0,3077.8978333333334
98,3755,Dangal,9500000.0,12391761.0,294654618, 2016,,,,,,285154618.0,3001.627557894737
99,3171,Pretty Woman,14000000.0,178406268.0,432645872, 1990,,,,,,418645872.0,2990.327657142857
100,4783,Young Frankenstein,2800000.0,86300000.0,86300000, 1974,,,,,,83500000.0,2982.1428571428573
101,5157,"Sex, Lies, and Videotape",1200000.0,24741667.0,36741667,1989,,,,,,35541667.0,2961.8055833333333
102,4251,Saw II,5000000.0,87025093.0,152925093, 2005,,,,,,147925093.0,2958.5018600000003
103,5358,Jodaeiye Nader az Simin,800000.0,7098492.0,24426169, 2011,,,,,,23626169.0,2953.2711249999998
104,4666,The Purge,3000000.0,64473115.0,91266581,2013,,,,,,88266581.0,2942.2193666666667
105,2485,Beauty and the Beast,20000000.0,376057266.0,608431132, 1991,,,,,,588431132.0,2942.15566
106,5683,Over the Hill to the Poorhouse,100000.0,3000000.0,3000000, 1920,,,,,,2900000.0,2900.0
107,4254,Lights Out,5000000.0,67268835.0,148806510, 2016,,,,,,143806510.0,2876.1302
108,4478,Lost in Translation,4000000.0,44585453.0,117085297, 2003,,,,,,113085297.0,2827.132425
109,4668,Sinister,3000000.0,48086903.0,87727807, 2012,,,,,,84727807.0,2824.2602333333334
110,4213,The Sting,5500000.0,159616327.0,159616327, 1973,,,,,,154116327.0,2802.115036363636
111,3988,Flashdance,7000000.0,90463574.0,201463574, 1983,,,,,,194463574.0,2778.051057142857
112,2996,The Kingâs Speech,15000000.0,138797449.0,430821168, 2010,,,,,,415821168.0,2772.14112
113,5527,Maniac,350000.0,10000000.0,10000000,1980,,,,,,9650000.0,2757.1428571428573
114,4258,Paranormal Activity 4,5000000.0,53900335.0,142817992, 2012,,,,,,137817992.0,2756.35984
115,5214,Taxi Driver,1000000.0,28262574.0,28316211,1976,,,,,,27316211.0,2731.6211
116,5685,A Ghost Story,100000.0,1594798.0,2769782,2017,,,,,,2669782.0,2669.782
117,3173,Slumdog Millionaire,14000000.0,141330703.0,384530440, 2008,,,,,,370530440.0,2646.646
118,4475,Porky's,4000000.0,109492484.0,109492484, 1982,,,,,,105492484.0,2637.3121
119,4590,Truth or Dare,3500000.0,41411015.0,95127344, 2018,,,,,,91627344.0,2617.9241142857145
120,5216,You're Next,1000000.0,18494006.0,26887177, 2013,,,,,,25887177.0,2588.7177
121,3861,Pulp Fiction,8000000.0,107928762.0,212928762, 1994,,,,,,204928762.0,2561.609525
122,5193,Wolf Creek,1100000.0,16186348.0,29005064, 2005,,,,,,27905064.0,2536.824
123,5540,Tupac Resurrection,300000.0,7718961.0,7808524, 2003,,,,,,7508524.0,2502.8413333333333
124,5672,Your Sister's Sister,120000.0,1597486.0,3090593, 2012,,,,,,2970593.0,2475.494166666667
125,3342,The Fault in Our Stars,12000000.0,124872350.0,307166834,2014,,,,,,295166834.0,2459.7236166666667
126,3535,Halloween,10000000.0,159342015.0,254900667, 2018,,,,,,244900667.0,2449.0066699999998
127,3245,Black Swan,13000000.0,106954678.0,331266710,2010,,,,,,318266710.0,2448.205461538462
128,4257,Happy Death Day,5000000.0,55683845.0,125010260, 2017,,,,,,120010260.0,2400.2052
129,3468,High School Musical 3: Senior Year,11000000.0,90559416.0,274392880, 2008,,,,,,263392880.0,2394.4807272727276
130,2159,The Passion of the Christ,25000000.0,370782930.0,622341924, 2004,,,,,,597341924.0,2389.3676960000003
131,5038,In the Bedroom,1700000.0,35930604.0,42137871, 2001,,,,,,40437871.0,2378.698294117647
132,4459,One Flew Over the Cuckoo's Nest,4400000.0,108981275.0,108997629, 1975,,,,,,104597629.0,2377.218840909091
133,4665,War Room,3000000.0,67790117.0,73975239, 2015,,,,,,70975239.0,2365.8413
134,3987,Magic Mike,7000000.0,113721571.0,170549753, 2012,,,,,,163549753.0,2336.4250428571427
135,4811,A Haunted House,2500000.0,40041683.0,59922558, 2013,,,,,,57422558.0,2296.9023199999997
136,4587,Airplane!,3500000.0,83453539.0,83453539,1980,,,,,,79953539.0,2284.386828571429
137,5611,"The Beast from 20,000 Fathoms",210000.0,5000000.0,5000000, 1953,,,,,,4790000.0,2280.952380952381
138,2993,Top Gun,15000000.0,179800601.0,356799634, 1986,,,,,,341799634.0,2278.6642266666668
139,2997,American Beauty,15000000.0,130058047.0,356258047, 1999,,,,,,341258047.0,2275.0536466666667
140,2404,Ghost,22000000.0,217631306.0,517600000, 1990,,,,,,495600000.0,2252.7272727272725
141,4588,M*A*S*H,3500000.0,81600000.0,81600000,1970,,,,,,78100000.0,2231.428571428571
142,2367,Star Wars Ep. V: The Empire Strikes Back,23000000.0,290271960.0,534161334, 1980,,,,,,511161334.0,2222.440582608696
143,3993,Live and Let Die,7000000.0,35400000.0,161800000, 1973,,,,,,154800000.0,2211.4285714285716
144,4661,Trainspotting,3100000.0,16501785.0,71558971, 1996,,,,,,68458971.0,2208.3539032258063
145,4113,Platoon,6000000.0,137963328.0,137978395, 1986,,,,,,131978395.0,2199.6399166666665
146,3172,Fatal Attraction,14000000.0,156645693.0,320100000, 1987,,,,,,306100000.0,2186.4285714285716
147,4683,Pokemon 3: The Movie,3000000.0,17052128.0,68452128,2001,,,,,,65452128.0,2181.7376
148,3536,Good Will Hunting,10000000.0,138433435.0,225925989,1997,,,,,,215925989.0,2159.25989
149,5159,Monsoon Wedding,1200000.0,13876974.0,27025600, 2002,,,,,,25825600.0,2152.1333333333337
150,2724,Dances with Wolves,19000000.0,184208842.0,424200000,1990,,,,,,405200000.0,2132.631578947369
151,5194,Ong-Bak,1100000.0,4563167.0,24062965, 2005,,,,,,22962965.0,2087.5422727272726
152,4281,Billy Elliot,5000000.0,21995263.0,109253745, 2000,,,,,,104253745.0,2085.0749
153,4476,Peter Pan,4000000.0,87400000.0,87400000,1953,,,,,,83400000.0,2085.0
154,5657,Tadpole,150000.0,2891288.0,3270128, 2002,,,,,,3120128.0,2080.0853333333334
